Section,Register name,ID,Hex Address,Width,Access Type,Reset Value,Bit Fields,Input/output to/from digital,Description/Function,,Notes,,,,,,,,
CREF,ENREGAFE,,0x00,1,R/W,0,,Output,enable AFE Voltage Regulator,,,,,,,,,,
,ENREGADC,,0x00,1,R/W,0,,Output,enable ADC Voltage Regulator ,,,,,,,,,,
,PDREGDIG,,0x00,1,R/W,0,,Output,"power down DIG Voltage Regulator (turn ON by default). Ie. When = 0, chip will be ON, when = 1 chip will be OFF. Upon RST, everything incl. digital reg will be set to zero which will switch digital back on.",,DVDD and DVSS are digital supply and ground ,,,,,,,,
,RTGB<3:0>,,0x01,4,R/W,0,,Output,Resistor Trim in Bandgap,,,,,,,,,,
,RTREGAFE<3:0>,,0x01,4,R/W,0,,Output,Resistor Trim in AFE Voltage Regulator,,Total number of reg:,,,,,,,,
,RTREGADC<3:0>,,0x02,4,R/W,0,,Output,Resistor Trim in ADC Voltage Regulator,,36,,,,,,,,
,RETREGDIG<3:0>,,0x02,4,R/W,0,,Output,Resistor Trim in Dig Voltage Regulator,,Total number of register bits:,,,,,,,,
,SPARECREF,,0x03,8,R/W,0,,,Spare 8-bit register for CREF,,259,,,,,,,,
BIAS,ENBIAS,,0x04,1,R/W,0?,,Output,enable bias section (CR2V) to generate PTAT current,,,,,,,,,,
,ENTSENSE,,0x04,1,R/W,0,,Output,enable temperature sensor,,8 bit wide registers,,,,,,,,
,ENITEST,,0x04,1,R/W,0?,,Output,enable bias current to go to ATM (TESTNAN1) for resistor calibration,,MUX?,,,,,,,,
,RTBGBIAS<3:0>,,0x05,4,R/W,0,,Output,Resistor Trim in Bias (+-20%),,,,,,,,,,
,ITAFELNACH0<3:0>,,0x05,4,R/W,0,,Output,IT setting for CH0 AFELNA,,Register names in bold indicate that there are spare unusued bits in the address at these locations,,,,,,,,
,ITAFELNACH1<3:0>,,0x06,4,R/W,0,,Output,IT setting for CH1 AFELNA,,,,,,,,,,
,ITAFELNACH2<3:0>,,0x06,4,R/W,0,,Output,IT setting for CH2 AFELNA,,,,,,,,,,
,ITAFELNACH3<3:0>,,0x07,4,R/W,0,,Output,IT setting for CH3 AFELNA,,,,,,,,,,
,ITAFELNACH4<3:0>,,0x07,4,R/W,0,,Output,IT setting for CH4 AFELNA,,,,,,,,,,
,ITAFELNACH5<3:0>,,0x08,4,R/W,0,,Output,IT setting for CH5 AFELNA,,,,,,,,,,
,ITAFELNACH6<3:0>,,0x08,4,R/W,0,,Output,IT setting for CH6 AFELNA,,,,,,,,,,
,ITAFELNACH7<3:0>,,0x09,4,R/W,0,,Output,IT setting for CH7 AFELNA,,,,,,,,,,
,ITAFELPFCH0<3:0>,,0x09,4,R/W,0,,Output,IT setting for CH0 AFELPF,,,,,,,,,,
,ITAFELPFCH1<3:0>,,0x0A,4,R/W,0,,Output,IT setting for CH1 AFELPF,,,,,,,,,,
,ITAFELPFCH2<3:0>,,0x0A,4,R/W,0,,Output,IT setting for CH2 AFELPF,,,,,,,,,,
,ITAFELPFCH3<3:0>,,0x0B,4,R/W,0,,Output,IT setting for CH3 AFELPF,,,,,,,,,,
,ITAFELPFCH4<3:0>,,0x0B,4,R/W,0,,Output,IT setting for CH4 AFELPF,,,,,,,,,,
,ITAFELPFCH5<3:0>,,0x0C,4,R/W,0,,Output,IT setting for CH5 AFELPF,,,,,,,,,,
,ITAFELPFCH6<3:0>,,0x0C,4,R/W,0,,Output,IT setting for CH6 AFELPF,,,,,,,,,,
,ITAFELPFCH7<3:0>,,0x0D,4,R/W,0,,Output,IT setting for CH7 AFELPF,,,,,,,,,,
,ITAFEBUF<3:0>,,0x0D,4,R/W,0,,Output,IT setting for AFEBUF,,,,,,,,,,
,ITADC<3:0>,,0x0E,4,R/W,0,,Output,IT setting for ADC,,,,,,,,,,
,SPAREBIAS1,,0x0F,8,R/W,0,,Output,Spare 8-bit register for BIAS ,,,,,,,,,,
