ID,Requirement,Notes / Rationale,Gaps / TBDs,To include in T4,Relevant digital block-level IP,Digital block-level IP requirement,Verification strategy,,LongerTest Description
DIG-1,A power on reset signal shall reset the system to a known state at power on,,,Yes,TLM ,As in requirement,Functional verification,,"Apply power-on sequence with NRST asserted low. Monitor all internal registers, FSMs, and memory elements. Verify all reach documented reset values (e.g., sampling disabled, channels off, dividers at safe defaults). Check no unknown (X) or high-impedance (Z) states exist in any flip-flop."
DIG-2,Reset release shall be managed with any always on clock to prevent unknown states,,,Yes,TLM ,As in requirement,Functional verification,,"Assert NRST asynchronously, then release synchronously to the HF_CLK domain. Use assertions to verify reset synchronizers (2-FF chains) in each domain. Monitor all register outputs for metastability or X/Z states during and after release. Verify no combinational glitches propagate from reset tree. The SCK domain has an intermittent clock so reset will need to be asynchronous"
DIG-3,The digital design shall be optimised for low power (subject to the area constraints),,,,,,,,
DIG-4,"The digital subsystem shall implement a 4-wire SPI slave interface with signals SCLK, CS, MOSI, MISO.",Basic host interface.,,Yes,SPI,As in requirement,Functional verification,,"Drive randomized SPI transactions with varying CS, SCLK, and MOSI patterns. Monitor that MISO responds correctly. Verify all four signals are present and toggle during transactions. Use protocol checker to flag violations (e.g., MISO driving when CS high, SCLK glitches)."
DIG-5,"SPI shall support 16-bit words, MSB-first, with CS low for the entire transaction.",Matches current protocol description.,,Yes,SPI,As in requirement,Functional verification,,"Send constrained-random 16-bit words via SPI with known bit patterns (e.g., 0xA5C3, 0x0001, 0xFFFF). Verify MSB transmitted/received first by monitoring bit order on MOSI/MISO. Assert CS remains low for all 16 SCLK cycles. Check CS goes high only after final bit. Verify word boundaries align with CS edges."
DIG-6,"SPI shall operate in mode~0 (CPOL=0, CPHA=0). If necessary mode 3 is an acceptable fallback",From specification.,,Yes,SPI,As in requirement,Functional verification,,"Configure SPI master for mode 0 (CPOL=0, CPHA=0). Use assertions to verify SCLK idles low when CS high. Monitor that data is sampled on SCLK rising edge and shifted on falling edge. Send test patterns and verify correct data capture. If mode 3 used, verify CPOL=1, CPHA=1 behavior (idle high, sample on falling edge)."
DIG-7,The maximum supported SCLK frequency shall be specified and verified (spec currently targets up to approximately \SI{15}{MHz}).,Impacts timing closure and verification.15MHz was achieved on all Pepper T3 chips and should provide sufficient for all data communication tasks.,,Yes,TLM,As in requirement,Timing analysis,,"Run post-layout static timing analysis at 15MHz SCLK frequency. Verify all setup and hold times meet requirements with margin (e.g., >100ps). Perform gate-level simulation with back-annotated SDF delays at 15MHz. Execute full register read/write sequences and FIFO readout. Check for timing violations, metastability, or data corruption. Test across PVT corners."
DIG-8,A high-frequency clock input HF_CLK shall be provided for the conversion/sampling domain. The HF_CLK shall be less than 8.096Mhz and have a jitter less than 3ns,Drives sampling and internal clocks. 3ns jitter requirment comes from the ADC. 8.096Mhz is the max that the clock divider can support. Minimum clock frequency is likely to be application specific,,Yes,BURST DIVIDER,As in requirement,Functional verification,,"Apply HF_CLK at maximum frequency (8.096MHz) with jitter profile <3ns peak-to-peak. Use real-number modeling or mixed-signal testbench to inject jitter. Monitor derived clocks (conversion, sampling) for jitter amplification. Verify all clock dividers lock and produce stable outputs. Use assertions to measure period variation and flag violations >3ns."
DIG-9,A DATA_READY output shall indicate that at least one complete multi-channel sample frame is unread.,Used by host to signal data is ready for readout.,,Yes,ADC CONTROL,As in requirement,Functional verification,,"Enable subset of channels and initiate sampling. Monitor internal FIFO write pointer. When one complete frame (all enabled channels) is written, verify DATA_READY asserts within 1 SCLK cycle. Read frame via SPI and verify DATA_READY deasserts when FIFO falls below threshold. Use scoreboard to track frame count vs. DATA_READY state."
DIG-10,A NRST pin shall asynchronously reset all digital logic to a safe default state.,Global digital reset.,,Yes,TLM,As in requirement,Functional verification,,"Assert NRST asynchronously during active operation (mid-transaction, mid-conversion). Verify immediate reset of all logic regardless of clock state. Run CDC analysis tool (SpyGlass CDC, Questa CDC) to verify reset topology. Check all async reset paths are properly synchronized. Verify no reset glitches or race conditions. Confirm safe defaults are reached."
DIG-11,"Dedicated scan pins (SCAN_EN, SCAN_CLK, SCAN_IN, SCAN_OUT) shall support scan test.",For DFT.,,Yes,TLM,As in requirement,Functional verification,,"Insert scan chains using DFT tool. Assert SCAN_EN to enable scan mode. Shift known patterns into scan chains via SCAN_IN using SCAN_CLK. Capture functional state, then shift out via SCAN_OUT. Compare shifted-out data with expected values. Run ATPG-generated patterns and verify fault coverage >95%. Check scan chains don't affect functional mode (SCAN_EN=0)."
