1000,1100,1200,1300,1400,1500,1600,1700
2000,2100,2200,2300,2400,2500,2600,2700
3000,3100,3200,3300,3400,3500,3600,3700
4000,4100,4200,4300,4400,4500,4600,4700
5000,5100,5200,5300,5400,5500,5600,5700
6000,6100,6200,6300,6400,6500,6600,6700
7000,7100,7200,7300,7400,7500,7600,7700
8000,8100,8200,8300,8400,8500,8600,8700
9000,9100,9200,9300,9400,9500,9600,9700
10000,10100,10200,10300,10400,10500,10600,10700
11000,11100,11200,11300,11400,11500,11600,11700
12000,12100,12200,12300,12400,12500,12600,12700
13000,13100,13200,13300,13400,13500,13600,13700
14000,14100,14200,14300,14400,14500,14600,14700
15000,15100,15200,15300,15400,15500,15600,15700
16000,16100,16200,16300,16400,16500,16600,16700
